avgR,avgG,avgB,varR,varG,varB,label
1.586681e+02,1.820970e+02,2.010727e+02,2.862899e+01,3.838158e+01,5.700816e+01,2
1.040745e+02,1.040460e+02,1.077035e+02,6.684068e+01,6.159804e+01,6.874973e+01,2
1.413026e+02,1.312708e+02,1.040803e+02,7.026248e+01,7.234904e+01,7.067291e+01,2
8.435405e+01,1.039286e+02,1.460644e+02,6.036832e+01,4.110137e+01,5.114038e+01,2
1.218938e+02,1.487364e+02,1.549263e+02,7.191036e+01,5.527400e+01,3.776491e+01,2
1.440069e+02,1.453674e+02,1.661797e+02,5.143140e+01,4.908556e+01,5.226917e+01,2
9.678818e+01,9.690405e+01,1.009456e+02,4.639132e+01,4.211227e+01,4.837446e+01,2
1.586024e+02,1.679904e+02,1.381855e+02,6.088125e+01,6.990591e+01,7.361988e+01,2
1.766654e+02,1.874309e+02,1.526475e+02,5.663537e+01,6.751204e+01,7.299267e+01,2
1.340464e+02,1.480240e+02,1.186915e+02,5.407339e+01,5.284110e+01,6.321535e+01,2
1.524594e+02,1.707064e+02,1.199181e+02,4.556023e+01,4.383417e+01,5.901158e+01,2
1.196288e+02,1.403572e+02,1.045863e+02,4.720136e+01,5.842320e+01,7.135283e+01,2
1.386870e+02,1.603662e+02,1.269124e+02,4.784700e+01,5.551693e+01,6.342362e+01,2
1.441724e+02,1.634224e+02,1.323394e+02,4.757870e+01,5.165423e+01,5.592148e+01,2
1.881936e+02,1.998153e+02,1.551086e+02,6.385157e+01,7.016201e+01,7.632379e+01,2
9.579987e+01,1.064907e+02,1.011457e+02,6.981511e+01,6.640885e+01,7.374411e+01,2
7.320621e+01,8.039397e+01,8.779849e+01,6.367715e+01,6.252282e+01,6.859941e+01,2
1.747938e+02,1.714447e+02,1.700023e+02,7.536904e+01,7.828070e+01,8.084795e+01,2
1.509656e+02,1.558554e+02,1.553515e+02,6.008914e+01,6.162808e+01,6.621178e+01,2
1.605192e+02,1.746412e+02,1.326269e+02,5.097381e+01,4.416638e+01,5.253150e+01,2
1.624265e+02,1.721893e+02,1.173340e+02,7.689921e+01,7.412623e+01,8.225955e+01,2
1.298166e+02,1.244832e+02,1.011767e+02,6.360182e+01,5.781189e+01,5.067118e+01,2
1.674037e+02,1.846378e+02,1.776031e+02,4.816756e+01,5.012173e+01,5.811005e+01,2
7.037497e+01,7.550002e+01,7.993225e+01,4.362722e+01,4.265071e+01,3.875417e+01,2
9.387697e+01,1.091946e+02,1.108658e+02,3.205865e+01,3.413230e+01,3.465981e+01,2
1.210553e+02,1.085289e+02,1.057160e+02,5.100263e+01,5.228947e+01,4.856421e+01,2
1.449819e+02,7.863300e+01,4.386211e+01,6.143218e+01,5.874507e+01,3.715733e+01,2
1.224307e+02,1.317274e+02,1.351816e+02,4.486434e+01,3.668531e+01,4.066501e+01,2
2.071235e+02,2.033475e+02,2.038347e+02,5.648555e+01,5.647750e+01,6.641464e+01,2
1.825469e+02,1.741645e+02,1.724422e+02,7.337976e+01,7.295441e+01,8.094173e+01,2
1.210199e+02,1.469520e+02,1.618510e+02,5.867041e+01,5.837920e+01,5.662513e+01,2
1.242501e+02,1.191452e+02,1.107137e+02,8.783204e+01,9.069095e+01,8.909861e+01,2
1.416035e+02,1.470811e+02,1.328672e+02,6.372812e+01,7.601605e+01,8.033099e+01,2
1.244570e+02,1.316650e+02,1.239904e+02,5.857988e+01,7.013604e+01,8.373322e+01,2
